Birth Order,Property Name,Location,# of Units,Pref or Mezz?,% Stoa-Owned,Construction Start Date,Construction Completion Date,% Complete as of X Date,Lease-Up Start Date,Lease-up Completed Date,% Occupied as of X Date,Project Cost,Project Cost/Unit,Construction Loan Amount,Construction Loan LTC,Construction Financing Lender,Construction Loan Closing,Common Equity Requirement,Permanent Financing Close Date,Permanent Financing Value,per Unit Value,Permanent Financing Lender,Permancent Financing Loan Amount,Permanent Financing LTV,Permanent Interest Rate,Cash-out at Refi (Project-Level),Cash-out at Refi (Stoa),Residual Monthly Cash-Flow (Stoa),NOI,NOI per Unit,Average Rent,Yield on Cost,Debt Yield,Stabilized CoC Returns,Projected Sale Price,per Unit Sale Price,Sale Date,Projected Sale Cap Rate,Project Profit,Projected IRR,Final Cost Projected Over/(Under),Current DSCR,Current FCF,col_3,col_4,col_5,col_6
Stabilized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,The Waters at Bartlett,"Bartlett, TN",324.0,Pref,1.0,2026-06-30,2028-05-31,0.0,2027-07-31,2028-11-30,0,56825965.683995575,175388.78297529498,42619474.26299668,0.75,,2026-06-30,-5075032.866286177,2029-05-31 00:00:00,69585375.8185035,214769.6784521713,Berkadia (HUD),55668300.6548028,0.8,0.055,11821967.731656704,4461979.795531673,54622.737936894584,4349085.988656469,13423.104903260706,1795.7975605186816,0.07780929452836491,0.10204457149844423,0.10626748418149899,78333493.05803509,241770.04030257743,2039-05-31,0.0725,42300371.09006881,0.2361226618289948,,,,,,,
32,The Waters at New Bern,"New Bern, NC",264.0,Pref,1.0,2026-07-31,2028-06-30,0.0,2027-08-31,2028-10-31,0,49090502.67215384,185948.87375815847,36817877.00411538,0.75,,2026-07-31,-4417248.500244886,2029-04-30 00:00:00,62749059.10895591,237685.82995816635,Berkadia (HUD),48276554.142111115,0.7693590123524386,0.0525,10406390.959638085,3610559.2763772616,41248.30571181298,3608070.898764965,13666.935222594564,1661.1315830783988,0.07471061835207071,0.09799779868789465,0.09152504763896945,68561705.89185949,259703.43140855865,2039-04-30,0.0675,67808703.60338372,0.2517259299755097,,,,,,,
40,The Waters at OWA,"Foley, AL",300.0,Pref,1.0,2026-09-30,2028-08-31,0.0,2027-09-30,2028-12-31,0,44608822.40002486,148696.07466674954,33456616.800018646,0.75,,2026-09-30,-3864893.68970396,2029-06-30 00:00:00,60497591.75754862,201658.63919182876,Berkadia (HUD),45186604.65404697,0.7469157588146272,0.055,10621815.574909654,4968938.071514884,39294.88792171265,3478611.526059046,11595.371753530153,1539.2428103194577,0.0796616304773171,0.10397379827290568,0.0966079665334549,65422541.18936089,218075.13729786963,2039-06-30,0.0675,36560017.45569052,0.27293624281883244,,,,,,,
34,The Flats at Lake Murray,"Columbia, SC",300.0,Pref,1.0,2026-10-31,2028-09-30,0.0,2027-11-30,2029-02-28,0,54149326.00994921,180497.75336649735,40611994.507461905,0.75,,2026-10-31,-4859138.626356125,2029-08-31 00:00:00,65187464.07051241,217291.54690170803,Berkadia (HUD),52149971.25640993,0.8,0.0525,10389652.187006384,2745799.9876505174,45924.75974479446,3911247.844230744,13037.49281410248,1665.5198171529714,0.07347738447046995,0.09630770149720436,0.09252459237991546,71868456.55020438,239561.5218340146,2039-08-31,0.06999999999999999,35992040.17106375,0.2182280957698822,,,,,,,
35,The Waters at Cahaba Valley,"Birmingham, AL",280.0,Pref,1.0,2026-09-30,2028-08-31,0.0,2027-10-31,2028-12-31,0,51688649.07513973,184602.31812549903,38766486.8063548,0.75,,2026-09-30,-4695652.71843503,2029-06-30 00:00:00,63125556.55988133,225448.41628529047,Berkadia (HUD),50500445.24790507,0.8,0.055,10631201.494726589,3956130.562026901,49530.26868123587,3945347.284992583,14090.526017830654,1771.2934415862512,0.0775406575532007,0.10177211323533815,0.10317424358199771,70337644.03512946,251205.87155403377,2039-06-30,0.0725,37059536.936499074,0.23614962697029115,,,,,,,
36,The Waters at Southpoint,"Hardeeville, SC",288.0,Pref,1.0,2026-11-30,2028-10-31,0.0,2027-12-31,2029-02-28,0,56624193.19084211,196611.7819126462,42468144.893131584,0.7500000000000001,,2026-11-30,-5520296.632601922,2029-08-31 00:00:00,74052084.36694843,257125.29294079315,Berkadia (HUD),51027667.51820075,0.689078071933055,0.0525,7440593.778537059,0,0,3813682.344897844,13241.952586450847,1876.5580697180453,0.06847715710059486,0.08980101095761861,0.08967115483485182,82825151.32953112,287587.3310053164,2039-08-31,0.0615,44335801.28309686,0.19161948561668396,,,,,,,
37,The Waters at High Point,"High Point, NC",288.0,Pref,1.0,2026-05-31,2028-04-30,0.0,2027-06-30,2028-10-31,0,48850447.75489341,169619.61026004655,36637835.81617005,0.7499999999999999,,2026-05-31,-4370699.190286685,2029-04-30 00:00:00,61833715.853241526,214700.40226819974,Berkadia (HUD),46744981.74921078,0.7559788556158761,0.0525,9054598.715927957,2043631.997375412,40123.271054530924,3493604.9457081463,12130.572728153285,1595.9123816464846,0.07285017213064165,0.09535511221888955,0.09091984297791532,67840928.73154417,235558.7803178617,2039-04-30,0.0665,35214988.73994489,0.21560805439949038,,,,,,,
,,,3238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Portfolio Total,8685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
